iter	RMSE
0	1.857396384
1	1.827382223
2	1.800466491
3	1.774516636
4	1.751462644
5	1.729661598
6	1.709157477
7	1.690122106
8	1.671717169
9	1.655103758
10	1.640785371
11	1.625792652
12	1.612361119
13	1.600089368
14	1.589278674
15	1.578813827
16	1.568455277
17	1.558838018
18	1.550253735
19	1.542038565
20	1.534723089
21	1.528330339
22	1.522443185
23	1.51660949
24	1.511157114
25	1.506066472
26	1.501544209
27	1.497215964
28	1.492948115
29	1.48916365
30	1.485498113
31	1.482003892
32	1.478527018
33	1.475344835
34	1.472480666
35	1.469537156
36	1.466951358
37	1.46441997
38	1.461969771
39	1.45959614
40	1.45753161
41	1.455585236
42	1.453790241
43	1.452052286
44	1.450362885
45	1.448557675
46	1.446999602
47	1.445211986
48	1.443678329
49	1.442228171
50	1.440818746
51	1.439831034
52	1.438430894
53	1.437299195
54	1.435722159
55	1.434446009
56	1.433357477
57	1.432376462
58	1.431395707
59	1.430213168
60	1.428938125
61	1.428152065
62	1.427196402
63	1.426457723
64	1.425400446
65	1.424610896
66	1.42380777
67	1.42298683
68	1.42223008
69	1.421438659
70	1.420704384
71	1.419769259
72	1.419203256
73	1.418490773
74	1.417987443
75	1.417302613
76	1.416551164
77	1.416008938
78	1.415451436
79	1.41480302
80	1.41414991
81	1.413642426
82	1.412851724
83	1.411868211
84	1.411518245
85	1.411006795
86	1.4102964
87	1.409665426
88	1.409209357
89	1.408889165
90	1.408479405
91	1.408107095
92	1.407784284
93	1.407486194
94	1.407004121
95	1.406288446
96	1.405577141
97	1.405040211
98	1.404600859
99	1.404020467
100	1.403490668
101	1.402930214
102	1.402371706
103	1.402078549
104	1.401549261
105	1.401205559
106	1.400749503
107	1.400347275
108	1.3998315
109	1.399615523
110	1.399268794
111	1.398792611
112	1.39852425
113	1.397820577
114	1.397332635
115	1.396537927
116	1.396028058
117	1.395823923
118	1.39548899
119	1.395009008
120	1.394710617
121	1.394189998
122	1.393898445
123	1.393449423
124	1.393073703
125	1.392739383
126	1.392262196
127	1.391754815
128	1.391283444
129	1.390855554
130	1.390464584
131	1.389887808
132	1.389590654
133	1.389447187
134	1.389005028
135	1.388665737
136	1.388213836
137	1.387895734
138	1.387476011
139	1.387274745
140	1.386714393
141	1.386253214
142	1.38607026
143	1.385606004
144	1.385312579
145	1.384976655
146	1.384509281
147	1.384289787
148	1.384017017
149	1.383697971
150	1.38343676
151	1.383161465
152	1.38292399
153	1.382565201
154	1.382558387
155	1.382259944
156	1.38192564
157	1.381399246
158	1.380905583
159	1.38051768
160	1.380079527
161	1.379867991
162	1.379507229
163	1.379116953
164	1.378910254
165	1.378484506
166	1.378008241
167	1.377807665
168	1.377622795
169	1.377435751
170	1.377199126
171	1.376681821
172	1.376487282
173	1.376091878
174	1.375712642
175	1.375395213
176	1.374912138
177	1.374571093
178	1.374227879
179	1.373987365
180	1.373697997
181	1.373425747
182	1.373159365
183	1.372848906
184	1.372424578
185	1.372063688
186	1.371860231
187	1.371622386
188	1.371208107
189	1.370934822
190	1.370480963
191	1.370159865
192	1.369912665
193	1.369661327
194	1.369377149
195	1.369046778
196	1.368907748
197	1.368704345
198	1.368417858
199	1.368082011
200	1.367747536
201	1.367423488
202	1.36714268
203	1.36690067
204	1.366437221
205	1.366224373
206	1.366071792
207	1.365836361
208	1.365477277
209	1.365297299
210	1.364991533
211	1.364739351
212	1.364331986
213	1.363952049
214	1.363645005
215	1.363417495
216	1.363041636
217	1.362618209
218	1.362213417
219	1.361994581
220	1.361646204
221	1.361277953
222	1.360934705
223	1.360628291
224	1.360430813
225	1.360190334
226	1.359935407
227	1.359655526
228	1.359261719
229	1.358956107
230	1.358689661
231	1.358369762
232	1.357985079
233	1.357736894
234	1.357427035
235	1.357113238
236	1.356823618
237	1.356596637
238	1.356370137
239	1.35606921
240	1.355719027
241	1.355385392
242	1.355175811
243	1.354821277
244	1.35461945
245	1.354284374
246	1.35402418
247	1.353704007
248	1.353469896
249	1.353123077
250	1.35282355
251	1.3525407
252	1.352223362
253	1.351831361
254	1.3514115
255	1.351092967
256	1.350801713
257	1.35054287
258	1.350316542
259	1.349974546
260	1.349665539
261	1.349390432
262	1.349195391
263	1.349050095
264	1.348838566
265	1.348580423
266	1.348179765
267	1.347836313
268	1.347519613
269	1.347294549
270	1.346929704
271	1.346562119
272	1.34630667
273	1.346037048
274	1.345865178
275	1.345604925
276	1.345352096
277	1.345098804
278	1.344736767
279	1.344514918
280	1.344135913
281	1.343800404
282	1.343473745
283	1.343200186
284	1.342946703
285	1.342760633
286	1.342505409
287	1.342206987
288	1.341998374
289	1.341738758
290	1.341443736
291	1.341080096
292	1.340857902
293	1.3405499
294	1.34028577
295	1.339912137
296	1.339482373
297	1.339213931
298	1.338959091
299	1.338700928
300	1.338478151
301	1.33822968
302	1.337904311
303	1.337656294
304	1.337519296
305	1.337348642
306	1.337046168
307	1.336747007
308	1.33653794
309	1.336285077
310	1.335968224
311	1.335714056
312	1.335376835
313	1.335081935
314	1.334769123
315	1.334518627
316	1.33430063
317	1.334054211
318	1.333826354
319	1.333649722
320	1.333505097
