iter	Passed	Remaining
0	351	175358
1	541	134798
2	761	126161
3	1011	125418
4	1204	119215
5	1412	116305
6	1614	113696
7	1830	112590
8	2045	111584
9	2253	110409
10	2470	109832
11	2662	108284
12	2867	107439
13	3084	107064
14	3263	105524
15	3473	105062
16	3659	103978
17	3858	103322
18	4090	103561
19	4307	103380
20	4495	102547
21	4685	101803
22	4878	101169
23	5072	100598
24	5266	100059
25	5468	99694
26	5667	99280
27	5850	98614
28	6063	98479
29	6264	98138
30	6449	97573
31	6638	97081
32	6834	96724
33	7036	96443
34	7242	96227
35	7450	96025
36	7662	95881
37	7862	95591
38	8095	95687
39	8307	95539
40	8487	95017
41	8688	94747
42	8897	94563
43	9182	95161
44	9409	95143
45	9651	95253
46	9848	94922
47	10143	95514
48	10409	95813
49	10671	96042
50	10921	96150
51	11185	96370
52	11439	96482
53	11662	96320
54	11923	96473
55	12190	96655
56	12434	96638
57	12655	96444
58	12903	96445
59	13158	96492
60	13442	96741
61	13686	96688
62	13934	96656
63	14200	96739
64	14447	96684
65	14669	96460
66	14905	96329
67	15232	96768
68	15446	96487
69	15667	96243
70	15931	96259
71	16145	95977
72	16339	95576
73	16545	95247
74	16778	95076
75	17050	95121
76	17320	95152
77	17531	94848
78	17773	94714
79	18023	94624
80	18274	94530
81	18496	94286
82	18730	94104
83	18974	93968
84	19236	93920
85	19451	93637
86	19648	93271
87	19860	92982
88	20147	93040
89	20409	92975
90	20670	92905
91	20990	93089
92	21287	93162
93	21765	94010
94	22248	94846
95	22592	95075
96	22913	95198
97	23289	95534
98	23586	95537
99	23851	95407
100	24193	95578
101	24498	95593
102	24803	95602
103	25344	96504
104	25635	96436
105	25941	96422
106	26268	96482
107	26699	96908
108	26985	96800
109	27274	96702
110	27526	96467
111	27818	96370
112	28128	96333
113	28460	96367
114	28781	96354
115	29015	96049
116	29263	95794
117	29507	95524
118	29738	95211
119	29974	94920
120	30215	94643
121	30485	94456
122	30729	94188
123	30960	93879
124	31199	93597
125	31418	93256
126	31634	92911
127	31846	92553
128	32070	92233
129	32301	91934
130	32541	91663
131	32772	91364
132	32981	91008
133	33204	90694
134	33431	90388
135	33665	90105
136	33903	89832
137	34181	89663
138	34403	89350
139	34651	89104
140	34899	88856
141	35146	88609
142	35395	88363
143	35616	88050
144	35889	87868
145	36594	88729
146	36827	88435
147	37059	88141
148	37442	88203
149	37779	88153
150	38032	87902
151	38343	87786
152	38589	87521
153	38855	87298
154	38908	86602
155	39240	86529
156	39600	86515
157	39847	86251
158	40106	86014
159	40372	85790
160	40612	85512
161	40858	85248
162	41091	84956
163	41337	84691
164	41599	84459
165	41865	84235
166	42104	83956
167	42340	83672
168	42557	83353
169	42777	83038
170	43030	82789
171	43332	82634
172	43574	82362
173	43782	82028
174	44004	81722
175	44232	81428
176	44473	81157
177	44685	80835
178	44919	80553
179	45138	80246
180	45346	79920
181	45595	79666
182	45826	79382
183	46045	79077
184	46285	78810
185	46495	78491
186	46691	78152
187	46909	77850
188	47153	77591
189	47372	77292
190	47607	77020
191	47821	76713
192	48037	76412
193	48285	76162
194	48486	75838
195	48713	75554
196	48931	75259
197	49173	75001
198	49414	74742
199	49666	74499
200	49876	74194
201	50099	73909
202	50338	73648
203	50595	73413
204	50798	73100
205	51034	72835
206	51244	72534
207	51461	72244
208	51716	72006
209	51947	71736
210	52175	71462
211	52394	71177
212	52639	70927
213	52883	70676
214	53110	70402
215	53317	70102
216	53539	69822
217	53772	69558
218	54001	69289
219	54279	69083
220	54520	68829
221	54732	68538
222	54974	68287
223	55214	68032
224	55450	67772
225	55695	67524
226	55974	67317
227	56263	67121
228	56574	66950
229	56892	66787
230	57190	66598
231	57462	66379
232	57739	66164
233	57989	65919
234	58230	65664
235	58497	65438
236	58742	65187
237	58973	64920
238	59174	64621
239	59389	64338
240	59604	64056
241	59853	63810
242	60058	63518
243	60274	63238
244	60478	62947
245	60707	62681
246	60927	62407
247	61174	62160
248	61393	61886
249	61618	61618
250	61840	61347
251	62088	61102
252	62352	60873
253	62636	60663
254	62933	60465
255	63252	60287
256	63694	60225
257	63950	59984
258	64214	59752
259	64504	59542
260	64793	59331
261	65103	59139
262	65383	58919
263	65683	58716
264	65981	58512
265	66296	58320
266	66634	58149
267	66994	57995
268	67329	57818
269	67721	57688
270	68095	57542
271	68454	57380
272	68807	57213
273	69303	57162
274	69625	56966
275	69991	56804
276	70315	56607
277	70569	56354
278	70831	56106
279	71138	55894
280	71422	55664
281	71686	55417
282	71988	55199
283	72373	55044
284	72660	54814
285	72999	54622
286	73320	54415
287	73647	54212
288	73925	53973
289	74182	53718
290	74467	53483
291	74730	53232
292	75067	53034
293	75467	52878
294	75750	52640
295	75992	52373
296	76278	52136
297	76543	51885
298	76823	51643
299	77079	51386
300	77322	51119
301	77616	50887
302	78030	50733
303	78467	50590
304	78822	50394
305	79213	50220
306	79591	50036
307	79932	49828
308	80198	49572
309	80536	49361
310	80927	49180
311	81272	48971
312	81648	48780
313	82024	48587
314	82586	48503
315	82935	48291
316	83223	48043
317	83479	47777
318	83768	47529
319	84038	47271
320	84313	47016
321	84564	46747
322	84927	46539
323	85193	46278
324	85487	46031
325	85761	45774
326	86068	45534
327	86457	45337
328	86774	45101
329	87055	44846
330	87377	44612
331	87805	44431
332	88142	44203
333	88592	44030
334	88864	43768
335	89140	43509
336	89421	43251
337	89661	42973
338	89902	42697
339	90170	42433
340	90434	42167
341	90710	41907
342	91048	41675
343	91347	41425
344	91603	41155
345	91878	40893
346	92129	40621
347	92378	40349
348	92619	40073
349	92891	39810
350	93174	39552
351	93446	39290
352	93699	39019
353	94002	38769
354	94262	38501
355	94516	38231
356	94782	37966
357	95040	37697
358	95299	37429
359	95561	37162
360	95849	36906
361	96138	36649
362	96406	36384
363	96623	36100
364	96890	35836
365	97214	35592
366	97561	35356
367	97906	35118
368	98172	34852
369	98419	34579
370	98648	34301
371	98898	34029
372	99120	33748
373	99383	33482
374	99611	33203
375	99850	32929
376	100058	32644
377	100283	32366
378	100509	32088
379	100740	31812
380	100977	31538
381	101204	31262
382	101436	30987
383	101664	30711
384	101874	30430
385	102095	30152
386	102341	29882
387	102577	29610
388	102845	29346
389	103072	29071
390	103285	28793
391	103518	28520
392	103740	28244
393	103967	27970
394	104189	27695
395	104427	27425
396	104653	27151
397	104892	26882
398	105108	26606
399	105333	26333
400	105547	26057
401	105758	25781
402	105976	25507
403	106265	25251
404	106505	24982
405	106724	24709
406	106942	24436
407	107198	24172
408	107439	23904
409	107661	23632
410	107894	23364
411	108133	23096
412	108419	22839
413	108730	22586
414	109116	22349
415	109340	22078
416	109580	21810
417	109820	21543
418	110057	21275
419	110286	21006
420	110526	20740
421	110746	20469
422	110971	20200
423	111199	19931
424	111435	19665
425	111662	19396
426	111878	19126
427	112102	18858
428	112340	18592
429	112577	18326
430	112811	18060
431	113034	17792
432	113265	17526
433	113499	17260
434	113725	16993
435	113963	16728
436	114184	16461
437	114391	16192
438	114625	15927
439	114907	15669
440	115143	15404
441	115389	15141
442	115623	14877
443	115852	14612
444	116088	14347
445	116307	14082
446	116542	13818
447	116774	13554
448	117038	13293
449	117287	13031
450	117552	12771
451	117797	12509
452	118054	12248
453	118335	11989
454	118605	11730
455	118919	11474
456	119194	11215
457	119473	10956
458	119721	10694
459	119980	10433
460	120227	10171
461	120497	9911
462	120748	9649
463	121006	9388
464	121312	9131
465	121579	8870
466	121835	8609
467	122170	8353
468	122454	8094
469	122769	7836
470	122998	7573
471	123256	7311
472	123489	7049
473	123803	6790
474	124060	6529
475	124334	6268
476	124578	6006
477	124839	5745
478	125069	5483
479	125315	5221
480	125627	4962
481	125937	4703
482	126397	4448
483	126790	4191
484	127093	3930
485	127383	3669
486	127876	3413
487	128271	3154
488	128719	2895
489	129025	2633
490	129353	2371
491	129722	2109
492	130103	1847
493	130453	1584
494	130788	1321
495	131051	1056
496	131603	794
497	132003	530
498	132382	265
499	132890	0
