ds,yhat,yhat_lower,yhat_upper
2013-08-01,105947.41299515753,74721.35054072668,139591.32578249087
2013-09-01,66807.40975912525,30852.73350140362,100998.42286440337
2013-10-01,75500.14587659191,38315.21143216481,117158.28013971641
2013-11-01,71246.54061292013,39589.10345184073,105826.83640588915
2013-12-01,104424.10963907262,68608.92730679545,140280.99871132235
2014-01-01,88378.74499224024,53933.473743918585,128106.00861642491
2014-02-01,81843.4653729938,47237.198519419435,117363.1531211446
2014-03-01,89068.98183812496,52401.54141312901,128400.20006305513
2014-04-01,82332.34860900218,41527.00344891642,111355.49355505322
2014-05-01,87387.5471286397,48597.45777677572,120414.80572435325
2014-06-01,113846.05138159476,77665.98109479876,155032.32372059338
2014-07-01,116830.82720515883,88180.05421704485,165163.16583775324
2014-08-01,106458.32292444617,71210.3328988041,146465.35640560984
2014-09-01,67456.56532213587,27375.66736775561,97947.41197755634
2014-10-01,76472.21210925383,42505.722937567276,111835.31480490694
2014-11-01,72465.06776885246,39988.75891940332,111632.67102906214
2014-12-01,105402.89899416224,66013.26611337348,144795.7535539758
2015-01-01,89020.82505771006,52732.375430311426,130036.2818156518
2015-02-01,82547.30108946605,46602.72159693308,120444.72037601049
2015-03-01,89692.90346071121,53872.37364507113,126868.29660357478
2015-04-01,83127.50843137264,47300.98612358766,123381.35570389232
2015-05-01,88472.73784872497,46711.28403269449,122739.32140483752
2015-06-01,114971.24403530288,76506.75903574603,149925.81039167085
2015-07-01,117601.96187390032,86005.2155169107,155868.65008678503
2015-08-01,106948.75587410785,71704.2508673694,141078.1055995154
2015-09-01,68116.10735464854,34615.76119607811,96147.98574026901
2015-10-01,77450.43437624337,37480.14467793837,112987.09462996204
2015-11-01,73688.97235902527,37098.32248684219,109750.40410667835
2015-12-01,106360.63774713593,70047.03031436607,142215.59640119577
2016-01-01,89655.07025972451,52989.82290954784,124604.50598667546
2016-02-01,83251.66189469046,46937.7816878752,127646.8334271428
2016-03-01,91191.9758431647,60165.21312800928,123205.37110662587
2016-04-01,84144.10380609441,50535.89389758014,117996.0298917283
2016-05-01,88608.57539160391,53790.689284976055,121953.06199664078
2016-06-01,114923.05715225442,79435.73559688384,149739.949914272
2016-07-01,118597.75224809273,75849.96682050553,152439.83255946395
2016-08-01,108813.42654101338,63565.85625613009,146537.02998243828
2016-09-01,69557.31706960434,30333.42253564726,104489.5752434674
2016-10-01,77915.00323220548,37508.09052566142,115415.43259707029
2016-11-01,73405.64650068505,33313.79979628527,108123.40947648475
2016-12-01,106787.40752620967,69463.3761736467,135826.5695453311
2017-01-01,91091.26178371333,55333.54152516621,128465.94323531735
2017-02-01,84502.64290714837,46430.449362867235,121973.46081632472
2017-03-01,91810.64079427703,58444.49918698771,129740.4068989766
2017-04-01,84913.096190038,46534.329942006225,117274.74880557404
2017-05-01,89674.48949593063,53887.3641535454,119718.29272026701
2017-06-01,116071.6405404297,80931.71419804583,152036.09364875188
2017-07-01,119404.67323902498,78980.19402734298,155191.11883000206
2017-08-01,109322.01685686968,77894.01974425146,141080.62385277162
2017-09-01,70179.01270471765,34832.65280932549,109363.05306997709
2017-10-01,78868.8447184715,41628.76928317429,113131.46962050749
2017-11-01,74612.23854761876,43171.433868916305,105901.35167420997
2017-12-01,107786.90347005834,69963.17909220076,139701.26992954445
2018-01-01,91741.53882776899,51041.52595589536,130329.46546649559
2018-02-01,85206.25922367394,49196.66539775037,121628.61828639642
2018-03-01,92431.77570249623,49530.78350546648,131144.58370214055
2018-04-01,85695.1424885297,48583.28449132955,123651.7585577556
2018-05-01,90750.341025149,56755.52634002114,128560.3327350631
2018-06-01,117208.84530602285,87644.04170495273,153775.05560040637
2018-07-01,120193.62115660179,86066.90878739119,154511.86482869188
2018-08-01,109821.11690246346,73286.16931486248,145933.43094213208
2018-09-01,70819.3593267262,36787.00767692093,101958.3054181113
2018-10-01,79835.00613931408,38989.73549676042,115753.14457958056
2018-11-01,75827.86182522855,40480.22930753198,107303.631465314
2018-12-01,108765.69307297994,73650.99918949633,146030.3155179928
2019-01-01,92383.61915971703,51456.60920859946,130472.30696219062
2019-02-01,85910.09522824737,40948.5329903885,123052.80099316461
2019-03-01,93055.6976327027,56809.37238511737,131271.98618627788
2019-04-01,86490.30263630411,54550.60451052011,129369.32620789553
2019-05-01,91835.53210449954,59340.47282507413,127280.37030226612
2019-06-01,118334.03834361225,84391.63365740959,152338.23400040003
2019-07-01,120964.75623305251,86776.79193617703,157675.40660228056
2019-08-01,110311.55028721418,77284.54334580357,146024.10805845266
2019-09-01,71478.90182419014,27302.062616481286,105551.27450451782
2019-10-01,80813.22890039418,50361.26350624185,121358.496166843
2019-11-01,77051.76693960969,43786.13633277917,110967.77361245308
