ds,yhat,yhat_lower,yhat_upper
2013-08-01,105881.06818461043,69815.59931084592,144040.37008654972
2013-09-01,66455.97781253987,30659.378521840452,104909.46517915698
2013-10-01,75083.12528671868,35945.383496206196,108332.11086180976
2013-11-01,71003.50716117022,34536.14178764289,105334.0578255254
2013-12-01,104380.04104707198,69455.61137929355,137513.73500312667
2014-01-01,88220.02684305888,52841.53535921091,129030.03540094261
2014-02-01,81734.52109983019,45644.544817014976,116809.22544247513
2014-03-01,88818.4892209581,53450.19809983233,121992.19429298383
2014-04-01,80983.42845778065,42241.82968188209,120971.93076225271
2014-05-01,86959.78349048187,50611.89964364082,123354.10050494221
2014-06-01,113706.39185523508,75019.24557936234,147502.95712266053
2014-07-01,116722.5827324886,86922.64261158174,161286.7101573533
2014-08-01,106378.9808100509,74348.74253361992,144258.11564380032
2014-09-01,67094.79457980447,35652.56829105679,108827.12589050856
2014-10-01,76056.80039586537,45589.2671702007,115336.21469902576
2014-11-01,72231.92904581467,30389.580708757316,106479.98046935271
2014-12-01,105369.83046484274,66729.24612160334,144431.28202356232
2015-01-01,88867.1455691093,52497.24803983464,128560.58487720773
2015-02-01,82439.71830849908,46780.93013316913,114990.83126248933
2015-03-01,89438.58870868736,47198.615063792284,122541.51228110098
2015-04-01,81793.08617855818,42412.848484170165,127781.88094941163
2015-05-01,88056.46792314727,50531.861846273416,124152.38735607555
2015-06-01,114838.91682668836,81804.5517641737,150731.4391014394
2015-07-01,117495.03930413694,81846.13731457702,152675.70986399695
2015-08-01,106868.10400021315,73836.3352860222,146222.7239082932
2015-09-01,67753.0457032163,32081.61405087585,103716.57984349459
2015-10-01,77042.892277093,41007.580445536936,119514.53322019667
2015-11-01,73468.73616535291,37570.65713190682,111403.97550315967
2015-12-01,106338.31552100292,67409.83953547725,132474.51560919173
2016-01-01,89506.17697185642,49431.784290247524,126297.3804646489
2016-02-01,83145.20220518582,46545.575396817985,121422.83068338766
2016-03-01,90971.00371186857,57108.701694461524,128102.19643209178
2016-04-01,82789.88893838727,46832.519327688206,119106.65877410717
2016-05-01,88178.85858120967,49797.41315198502,127448.55356770121
2016-06-01,114789.28545663896,88677.92027188608,158219.53596687128
2016-07-01,118507.59481422772,84820.982130588,157635.51416709283
2016-08-01,108757.81568668464,75295.43634811972,144706.55690722025
2016-09-01,69220.32434987946,31441.936065185073,100272.60478643657
2016-10-01,77506.41599233757,40199.37408786672,113521.74585582873
2016-11-01,73168.52045223782,37242.43493094432,111448.10673113092
2016-12-01,106753.58747314099,72743.38808899149,142023.30928940207
2017-01-01,90948.74449906533,54872.97299505042,128743.05036892876
2017-02-01,84413.58237586363,50810.65459369986,123755.23538023261
2017-03-01,91585.5968047786,51905.69062439513,127499.17794072858
2017-04-01,83571.9042692988,49682.94143633303,117930.20567486003
2017-05-01,89256.56565896375,56478.02158149481,120865.52106057263
2017-06-01,115945.82565174082,79229.20413780947,155787.94063899448
2017-07-01,119316.3477381813,89745.47619513531,151577.7014366683
2017-08-01,109265.35484360272,78488.82846948224,144594.88232595715
2017-09-01,69840.26453506069,30404.88286938015,108695.13151067564
2017-10-01,78467.41209920427,49259.3884516419,116796.4563905419
2017-11-01,74387.79406660813,31232.03329062042,113109.21259842944
2017-12-01,107764.32804247459,69166.48415533877,137760.45898800204
2018-01-01,91604.31392984603,58558.35083443121,128458.32301281042
2018-02-01,85118.80828018505,49935.99600487116,121857.67341348072
2018-03-01,92202.77648583174,56852.865911090856,129281.47436191201
2018-04-01,84367.71581622683,51225.396933490956,128473.15295677632
2018-05-01,90344.07094782707,59324.941106830505,126356.13132853307
2018-06-01,117090.67941956881,79299.29761358566,147971.74064645797
2018-07-01,120106.87040035635,86168.2594945022,153176.30782317722
2018-08-01,109763.2685884539,78378.8051227399,144988.62431573484
2018-09-01,70479.0824687415,32605.06958939891,104218.06917567634
2018-10-01,79441.08839909715,42414.90652502389,114678.52072511632
2018-11-01,75616.21716714799,36595.73300537153,109742.8216997289
2018-12-01,108754.11869891554,72562.43674610829,147225.9711450367
2019-01-01,92251.43391967923,55635.66070619145,126584.41420058475
2019-02-01,85824.00677697445,47800.28528889483,119719.56620818959
2019-03-01,92822.8772836524,52372.60890842741,129246.53183469648
2019-04-01,85177.37486803031,49477.8121228617,124638.47742348329
2019-05-01,91440.75672540726,60273.50687424336,130599.39327674928
2019-06-01,118223.20574549274,82375.15358918908,155244.96103315346
2019-07-01,120879.32833572887,83326.71046147325,156771.33500149474
2019-08-01,110252.39314610184,71441.22790713373,145506.15244339302
2019-09-01,71137.33837733035,30282.926486829423,107701.4425949356
2019-10-01,80427.18836561315,42940.75061509066,114360.54491666358
2019-11-01,76853.03578209678,40508.936110493545,114432.40446545267
2019-12-01,109722.6185474331,73873.93353735768,141530.78876401167
2020-01-01,92890.49105662572,58777.86531278028,130094.06664731314
2020-02-01,86529.52734830492,50898.073606614096,131490.48236577894
2020-03-01,94355.33919966141,62352.02920216242,123385.15678114738
2020-04-01,86174.23548428954,46794.690099728476,120522.34518286581
2020-05-01,91565.0872595217,57511.065442920415,126801.44744076206
2020-06-01,118177.45900510304,83909.10577982248,150598.3694034223
2020-07-01,121897.65049095798,90327.1375864977,157249.1612068458
2020-08-01,112149.81622929873,74949.28155347404,141917.00309965984
2020-09-01,72619.79119368432,34857.149620963406,111135.53775612706
2020-10-01,80913.1082889095,44898.84631403934,110215.68176836027
2020-11-01,76582.67904356618,40935.09829272566,111626.30816114639
2020-12-01,110178.47107548862,79122.18561276174,143786.9727110276
2021-01-01,94384.7106128048,57507.25583805905,132747.43340904298
2021-02-01,87860.63100099153,50225.469233169744,124499.35824001006
2021-03-01,95042.65541145764,61009.61272356394,131586.70406799443
2021-04-01,87040.0484052433,49316.01375957287,120224.0633339616
2021-05-01,92735.43772645858,58368.09685086667,132198.7817798102
2021-06-01,119435.78324850588,84357.1294979584,157239.25617742076
2021-07-01,122817.03324787284,87058.97815062996,157648.22768984365
2021-08-01,112777.1287932777,73323.28900009468,147835.64884414204
2021-09-01,73363.12692472493,36989.76197031942,111254.86261130108
2021-10-01,82001.00520876904,44292.93306994546,121612.36169897176
2021-11-01,77932.47558673963,43075.68429837439,117613.04639878414
2021-12-01,111319.74028250095,76329.16536008379,151069.93840020717
2022-01-01,95170.81458043182,55316.30743011719,136234.50157196316
2022-02-01,88696.39733915242,46667.59500797905,123411.24590268263
2022-03-01,95790.3808813867,53114.82538314944,131483.38823602477
2022-04-01,87966.40862015402,51608.66919704186,122737.8241167719
2022-05-01,93953.49446953322,59789.78706206704,133797.82195457656
2022-06-01,120711.19134485546,89523.6045453505,155454.59407686192
2022-07-01,123738.11303879014,82683.70362168399,156066.83930077337
2022-08-01,113405.5996304718,78052.52774743465,147404.7040627682
2022-09-01,74132.50191433712,39646.96219620954,114273.15922667574
2022-10-01,83105.23855050965,46671.991039375585,116506.60722234429
2022-11-01,79291.4557145712,42644.343991048016,113931.09804862914
2022-12-01,112440.08795215556,78764.47049515112,146008.18706247126
2023-01-01,95948.4915689293,58813.81928158784,130983.852448998
2023-02-01,89532.15282083061,46959.64582775072,127299.73598451329
2023-03-01,96541.0386516696,62872.4596746581,136399.73558439003
2023-04-01,88906.62463065227,55087.22916823873,120710.26758808554
2023-05-01,95180.7371905142,57593.032315313445,133603.28556872008
2023-06-01,121974.27460317408,85890.72682423501,156531.2001504776
2023-07-01,124641.12789588934,87487.83031606823,161055.80920947014
2023-08-01,114025.28109883249,78378.35581889296,152184.8638774686
